Nº,PRODUCTO,RUBRO,ANHO,MES,PRECIO
1,Panificado,Pan Felipito,2009,ENERO,3260
2,Panificado,Pan Felipito,2009,FEBRERO,3073
3,Panificado,Pan Felipito,2009,MARZO,3045
4,Panificado,Pan Felipito,2009,ABRIL,3079
5,Panificado,Pan Felipito,2009,MAYO,2981
6,Panificado,Pan Felipito,2009,JUNIO,2824
7,Panificado,Pan Felipito,2009,JULIO,2755
8,Panificado,Pan Felipito,2009,AGOSTO,3051
9,Panificado,Pan Felipito,2009,SETIEMBRE,3009
10,Panificado,Pan Felipito,2009,OCTUBRE,2980
11,Panificado,Pan Felipito,2009,NOVIEMBE,2987
12,Panificado,Pan Felipito,2009,DICIEMBRE,2827
13,Panificado,Pan Felipito,2009,PROMEDIO,2989
14,Panificado,Galleta,2009,ENERO,3834
15,Panificado,Galleta,2009,FEBRERO,3798
16,Panificado,Galleta,2009,MARZO,3570
17,Panificado,Galleta,2009,ABRIL,3572
18,Panificado,Galleta,2009,MAYO,3513
19,Panificado,Galleta,2009,JUNIO,3323
20,Panificado,Galleta,2009,JULIO,3381
21,Panificado,Galleta,2009,AGOSTO,3474
22,Panificado,Galleta,2009,SETIEMBRE,3455
23,Panificado,Galleta,2009,OCTUBRE,3487
24,Panificado,Galleta,2009,NOVIEMBE,3422
25,Panificado,Galleta,2009,DICIEMBRE,3334
26,Panificado,Galleta,2009,PROMEDIO,3514
27,Panificado,Kokito,2009,ENERO,6249
28,Panificado,Kokito,2009,FEBRERO,6168
29,Panificado,Kokito,2009,MARZO,5999
30,Panificado,Kokito,2009,ABRIL,6122
31,Panificado,Kokito,2009,MAYO,6093
32,Panificado,Kokito,2009,JUNIO,6090
33,Panificado,Kokito,2009,JULIO,6103
34,Panificado,Kokito,2009,AGOSTO,6109
35,Panificado,Kokito,2009,SETIEMBRE,6131
36,Panificado,Kokito,2009,OCTUBRE,6153
37,Panificado,Kokito,2009,NOVIEMBE,6209
38,Panificado,Kokito,2009,DICIEMBRE,6056
39,Panificado,Kokito,2009,PROMEDIO,6123
40,A granel - 1kg,Fideo,2009,ENERO,3558
41,A granel - 1kg,Fideo,2009,FEBRERO,3423
42,A granel - 1kg,Fideo,2009,MARZO,3446
43,A granel - 1kg,Fideo,2009,ABRIL,3333
