Nro,PRODUCTO,RUBRO,ANHO,MES,PRECIO
1,Panificado,Pan Felipito,2010,ENERO,2963
1,Panificado,Pan Felipito,2010,FEBRERO,2826
1,Panificado,Pan Felipito,2010,MARZO,2896
1,Panificado,Pan Felipito,2010,ABRIL,2870
1,Panificado,Pan Felipito,2010,MAYO,2834
1,Panificado,Pan Felipito,2010,JUNIO,2808
1,Panificado,Pan Felipito,2010,JULIO,2847
1,Panificado,Pan Felipito,2010,AGOSTO,2902
1,Panificado,Pan Felipito,2010,SETIEMBRE,2881
1,Panificado,Pan Felipito,2010,OCTUBRE,3568
1,Panificado,Pan Felipito,2010,NOVIEMBE,3751
1,Panificado,Pan Felipito,2010,DICIEMBRE,3190
1,Panificado,Pan Felipito,2010,PROMEDIO,3028
2,Panificado,Galleta,2010,ENERO,3471
2,Panificado,Galleta,2010,FEBRERO,3340
2,Panificado,Galleta,2010,MARZO,3383
2,Panificado,Galleta,2010,ABRIL,3365
2,Panificado,Galleta,2010,MAYO,3277
2,Panificado,Galleta,2010,JUNIO,3317
2,Panificado,Galleta,2010,JULIO,3336
2,Panificado,Galleta,2010,AGOSTO,3373
2,Panificado,Galleta,2010,SETIEMBRE,3500
2,Panificado,Galleta,2010,OCTUBRE,4201
2,Panificado,Galleta,2010,NOVIEMBE,4432
2,Panificado,Galleta,2010,DICIEMBRE,3768
2,Panificado,Galleta,2010,PROMEDIO,3564
3,Panificado,Kokito,2010,ENERO,6048
3,Panificado,Kokito,2010,FEBRERO,5954
3,Panificado,Kokito,2010,MARZO,6084
3,Panificado,Kokito,2010,ABRIL,6057
3,Panificado,Kokito,2010,MAYO,6056
3,Panificado,Kokito,2010,JUNIO,6047
3,Panificado,Kokito,2010,JULIO,6040
3,Panificado,Kokito,2010,AGOSTO,6375
3,Panificado,Kokito,2010,SETIEMBRE,6296
3,Panificado,Kokito,2010,OCTUBRE,7703
3,Panificado,Kokito,2010,NOVIEMBE,8115
3,Panificado,Kokito,2010,DICIEMBRE,6906
3,Panificado,Kokito,2010,PROMEDIO,6473
4,A granel - 1kg,Fideo,2010,ENERO,3334
4,A granel - 1kg,Fideo,2010,FEBRERO,3202
4,A granel - 1kg,Fideo,2010,MARZO,3086
4,A granel - 1kg,Fideo,2010,ABRIL,3117
4,A granel - 1kg,Fideo,2010,MAYO,3126
4,A granel - 1kg,Fideo,2010,JUNIO,3061
4,A granel - 1kg,Fideo,2010,JULIO,3118
4,A granel - 1kg,Fideo,2010,AGOSTO,3164
4,A granel - 1kg,Fideo,2010,SETIEMBRE,3105
4,A granel - 1kg,Fideo,2010,OCTUBRE,3894
4,A granel - 1kg,Fideo,2010,NOVIEMBE,4086
4,A granel - 1kg,Fideo,2010,DICIEMBRE,3473
4,A granel - 1kg,Fideo,2010,PROMEDIO,3314
5,A granel - 1kg,Poroto,2010,ENERO,5291
5,A granel - 1kg,Poroto,2010,FEBRERO,4839
5,A granel - 1kg,Poroto,2010,MARZO,4768
5,A granel - 1kg,Poroto,2010,ABRIL,5266
5,A granel - 1kg,Poroto,2010,MAYO,5314
5,A granel - 1kg,Poroto,2010,JUNIO,5122
5,A granel - 1kg,Poroto,2010,JULIO,5062
5,A granel - 1kg,Poroto,2010,AGOSTO,5310
5,A granel - 1kg,Poroto,2010,SETIEMBRE,5341
5,A granel - 1kg,Poroto,2010,OCTUBRE,6537
5,A granel - 1kg,Poroto,2010,NOVIEMBE,6843
5,A granel - 1kg,Poroto,2010,DICIEMBRE,5819
5,A granel - 1kg,Poroto,2010,PROMEDIO,5459
6,A granel - 1kg,Arroz,2010,ENERO,2885
6,A granel - 1kg,Arroz,2010,FEBRERO,2790
