Nro,PRODUCTO,RUBRO,ANHO,MES,PRECIO
1,Panificado,Pan Felipito,2007,MAYO,2812
2,Panificado,Pan Felipito,2007,JUNIO,2753
3,Panificado,Pan Felipito,2007,JULIO,2766
4,Panificado,Pan Felipito,2007,AGOSTO,2920
5,Panificado,Pan Felipito,2007,SETIEMBRE,3218
6,Panificado,Pan Felipito,2007,OCTUBRE,3425
7,Panificado,Pan Felipito,2007,NOVIEMBRE,3239
8,Panificado,Pan Felipito,2007,DICIEMBRE,3213
9,Panificado,Galleta,2007,MAYO,3130
10,Panificado,Galleta,2007,JUNIO,3088
11,Panificado,Galleta,2007,JULIO,3059
12,Panificado,Galleta,2007,AGOSTO,3242
13,Panificado,Galleta,2007,SETIEMBRE,3529
14,Panificado,Galleta,2007,OCTUBRE,3813
15,Panificado,Galleta,2007,NOVIEMBRE,3588
16,Panificado,Galleta,2007,DICIEMBRE,3547
17,Panificado,Kokito,2007,MAYO,4884
18,Panificado,Kokito,2007,JUNIO,4923
19,Panificado,Kokito,2007,JULIO,5066
20,Panificado,Kokito,2007,AGOSTO,5030
21,Panificado,Kokito,2007,SETIEMBRE,5410
22,Panificado,Kokito,2007,OCTUBRE,5699
23,Panificado,Kokito,2007,NOVIEMBRE,5765
24,Panificado,Kokito,2007,DICIEMBRE,5808
25,A granel - 1kg,Fideo,2007,MAYO,2572
26,A granel - 1kg,Fideo,2007,JUNIO,2594
27,A granel - 1kg,Fideo,2007,JULIO,2580
28,A granel - 1kg,Fideo,2007,AGOSTO,2717
29,A granel - 1kg,Fideo,2007,SETIEMBRE,3028
30,A granel - 1kg,Fideo,2007,OCTUBRE,3292
31,A granel - 1kg,Fideo,2007,NOVIEMBRE,3293
32,A granel - 1kg,Fideo,2007,DICIEMBRE,3383
33,A granel - 1kg,Poroto,2007,MAYO,3419
34,A granel - 1kg,Poroto,2007,JUNIO,3469
35,A granel - 1kg,Poroto,2007,JULIO,3574
36,A granel - 1kg,Poroto,2007,AGOSTO,3967
37,A granel - 1kg,Poroto,2007,SETIEMBRE,4560
38,A granel - 1kg,Poroto,2007,OCTUBRE,5141
39,A granel - 1kg,Poroto,2007,NOVIEMBRE,6227
40,A granel - 1kg,Poroto,2007,DICIEMBRE,6866
41,A granel - 1kg,Arroz,2007,MAYO,2114
42,A granel - 1kg,Arroz,2007,JUNIO,2094
43,A granel - 1kg,Arroz,2007,JULIO,2101
44,A granel - 1kg,Arroz,2007,AGOSTO,2268
45,A granel - 1kg,Arroz,2007,SETIEMBRE,2307
46,A granel - 1kg,Arroz,2007,OCTUBRE,2434
47,A granel - 1kg,Arroz,2007,NOVIEMBRE,2452
48,A granel - 1kg,Arroz,2007,DICIEMBRE,2496
49,A granel - 1kg,Azúcar,2007,MAYO,3037
50,A granel - 1kg,Azúcar,2007,JUNIO,2999
51,A granel - 1kg,Azúcar,2007,JULIO,2984
52,A granel - 1kg,Azúcar,2007,AGOSTO,2965
53,A granel - 1kg,Azúcar,2007,SETIEMBRE,2972
54,A granel - 1kg,Azúcar,2007,OCTUBRE,2925
55,A granel - 1kg,Azúcar,2007,NOVIEMBRE,2830
56,A granel - 1kg,Azúcar,2007,DICIEMBRE,2833
57,A granel - 1kg,Harina,2007,MAYO,2058
58,A granel - 1kg,Harina,2007,JUNIO,2030
59,A granel - 1kg,Harina,2007,JULIO,2046
60,A granel - 1kg,Harina,2007,AGOSTO,2278
61,A granel - 1kg,Harina,2007,SETIEMBRE,2796
62,A granel - 1kg,Harina,2007,OCTUBRE,2975
63,A granel - 1kg,Harina,2007,NOVIEMBRE,2830
64,A granel - 1kg,Harina,2007,DICIEMBRE,2768
65,A granel - 1kg,Maíz,2007,MAYO,2340
66,A granel - 1kg,Maíz,2007,JUNIO,3349
67,A granel - 1kg,Maíz,2007,JULIO,3527
68,A granel - 1kg,Maíz,2007,AGOSTO,1937
69,A granel - 1kg,Maíz,2007,SETIEMBRE,2350
70,A granel - 1kg,Maíz,2007,OCTUBRE,2665
71,A granel - 1kg,Maíz,2007,NOVIEMBRE,2972
72,A granel - 1kg,Maíz,2007,DICIEMBRE,2952
73,A granel - 1kg,Yerba,2007,MAYO,3452
74,A granel - 1kg,Yerba,2007,JUNIO,3511
75,A granel - 1kg,Yerba,2007,JULIO,3562
76,A granel - 1kg,Yerba,2007,AGOSTO,3741
77,A granel - 1kg,Yerba,2007,SETIEMBRE,3719
78,A granel - 1kg,Yerba,2007,OCTUBRE,3737
79,A granel - 1kg,Yerba,2007,NOVIEMBRE,3629
80,A granel - 1kg,Yerba,2007,DICIEMBRE,3719
81,Carne bovina - 1kg,Puchero de primera,2007,MAYO,5665
82,Carne bovina - 1kg,Puchero de primera,2007,JUNIO,5669
83,Carne bovina - 1kg,Puchero de primera,2007,JULIO,5969
84,Carne bovina - 1kg,Puchero de primera,2007,AGOSTO,6483
85,Carne bovina - 1kg,Puchero de primera,2007,SETIEMBRE,6646
86,Carne bovina - 1kg,Puchero de primera,2007,OCTUBRE,7528
87,Carne bovina - 1kg,Puchero de primera,2007,NOVIEMBRE,7681
88,Carne bovina - 1kg,Puchero de primera,2007,DICIEMBRE,7544
89,Carne bovina - 1kg,Carnaza de negra,2007,MAYO,17312
90,Carne bovina - 1kg,Carnaza de negra,2007,JUNIO,17045
91,Carne bovina - 1kg,Carnaza de negra,2007,JULIO,17464
92,Carne bovina - 1kg,Carnaza de negra,2007,AGOSTO,18544
93,Carne bovina - 1kg,Carnaza de negra,2007,SETIEMBRE,20003
94,Carne bovina - 1kg,Carnaza de negra,2007,OCTUBRE,22055
95,Carne bovina - 1kg,Carnaza de negra,2007,NOVIEMBRE,22258
96,Carne bovina - 1kg,Carnaza de negra,2007,DICIEMBRE,22190
97,Carne bovina - 1kg,Carnaza de blanca,2007,MAYO,15259
98,Carne bovina - 1kg,Carnaza de blanca,2007,JUNIO,15350
99,Carne bovina - 1kg,Carnaza de blanca,2007,JULIO,15582
100,Carne bovina - 1kg,Carnaza de blanca,2007,AGOSTO,16541
101,Carne bovina - 1kg,Carnaza de blanca,2007,SETIEMBRE,18013
102,Carne bovina - 1kg,Carnaza de blanca,2007,OCTUBRE,19730
103,Carne bovina - 1kg,Carnaza de blanca,2007,NOVIEMBRE,19661
104,Carne bovina - 1kg,Carnaza de blanca,2007,DICIEMBRE,19925
105,Carne bovina - 1kg,Lomo,2007,MAYO,19508
106,Carne bovina - 1kg,Lomo,2007,JUNIO,19003
107,Carne bovina - 1kg,Lomo,2007,JULIO,19449
108,Carne bovina - 1kg,Lomo,2007,AGOSTO,20468
109,Carne bovina - 1kg,Lomo,2007,SETIEMBRE,21844
110,Carne bovina - 1kg,Lomo,2007,OCTUBRE,23843
111,Carne bovina - 1kg,Lomo,2007,NOVIEMBRE,24495
112,Carne bovina - 1kg,Lomo,2007,DICIEMBRE,24391
113,Carne bovina - 1kg,Carne molida de primera,2007,MAYO,17580
114,Carne bovina - 1kg,Carne molida de primera,2007,JUNIO,17242
115,Carne bovina - 1kg,Carne molida de primera,2007,JULIO,17208
116,Carne bovina - 1kg,Carne molida de primera,2007,AGOSTO,17741
117,Carne bovina - 1kg,Carne molida de primera,2007,SETIEMBRE,18933
118,Carne bovina - 1kg,Carne molida de primera,2007,OCTUBRE,20430
119,Carne bovina - 1kg,Carne molida de primera,2007,NOVIEMBRE,21100
120,Carne bovina - 1kg,Carne molida de primera,2007,DICIEMBRE,20741
121,Carne bovina - 1kg,Carne molida de segunda,2007,MAYO,10001
122,Carne bovina - 1kg,Carne molida de segunda,2007,JUNIO,10084
123,Carne bovina - 1kg,Carne molida de segunda,2007,JULIO,10006
124,Carne bovina - 1kg,Carne molida de segunda,2007,AGOSTO,10770
125,Carne bovina - 1kg,Carne molida de segunda,2007,SETIEMBRE,11281
126,Carne bovina - 1kg,Carne molida de segunda,2007,OCTUBRE,12382
127,Carne bovina - 1kg,Carne molida de segunda,2007,NOVIEMBRE,12686
128,Carne bovina - 1kg,Carne molida de segunda,2007,DICIEMBRE,12589
129,Carne bovina - 1kg,Costilla,2007,MAYO,9900
130,Carne bovina - 1kg,Costilla,2007,JUNIO,8995
131,Carne bovina - 1kg,Costilla,2007,JULIO,10278
132,Carne bovina - 1kg,Costilla,2007,AGOSTO,11072
133,Carne bovina - 1kg,Costilla,2007,SETIEMBRE,10986
134,Carne bovina - 1kg,Costilla,2007,OCTUBRE,12961
135,Carne bovina - 1kg,Costilla,2007,NOVIEMBRE,13760
136,Carne bovina - 1kg,Costilla,2007,DICIEMBRE,13334
137,Carne bovina - 1kg,Hígado,2007,MAYO,6448
138,Carne bovina - 1kg,Hígado,2007,JUNIO,6404
139,Carne bovina - 1kg,Hígado,2007,JULIO,6633
140,Carne bovina - 1kg,Hígado,2007,AGOSTO,7082
141,Carne bovina - 1kg,Hígado,2007,SETIEMBRE,7678
142,Carne bovina - 1kg,Hígado,2007,OCTUBRE,8325
143,Carne bovina - 1kg,Hígado,2007,NOVIEMBRE,8512
144,Carne bovina - 1kg,Hígado,2007,DICIEMBRE,7965
145,Carne bovina - 1kg,Corazón,2007,MAYO,5879
146,Carne bovina - 1kg,Corazón,2007,JUNIO,5686
147,Carne bovina - 1kg,Corazón,2007,JULIO,5889
148,Carne bovina - 1kg,Corazón,2007,AGOSTO,6409
149,Carne bovina - 1kg,Corazón,2007,SETIEMBRE,6549
150,Carne bovina - 1kg,Corazón,2007,OCTUBRE,6976
151,Carne bovina - 1kg,Corazón,2007,NOVIEMBRE,7153
152,Carne bovina - 1kg,Corazón,2007,DICIEMBRE,6946
153,Carne bovina - 1kg,Mondongo,2007,MAYO,6532
154,Carne bovina - 1kg,Mondongo,2007,JUNIO,6658
155,Carne bovina - 1kg,Mondongo,2007,JULIO,7010
156,Carne bovina - 1kg,Mondongo,2007,AGOSTO,7542
157,Carne bovina - 1kg,Mondongo,2007,SETIEMBRE,7957
158,Carne bovina - 1kg,Mondongo,2007,OCTUBRE,8329
159,Carne bovina - 1kg,Mondongo,2007,NOVIEMBRE,8555
160,Carne bovina - 1kg,Mondongo,2007,DICIEMBRE,8086
161,Carne bovina - 1kg,Carnaza de Primera,2007,MAYO,17125
162,Carne bovina - 1kg,Carnaza de Primera,2007,JUNIO,16880
163,Carne bovina - 1kg,Carnaza de Primera,2007,JULIO,17313
164,Carne bovina - 1kg,Carnaza de Primera,2007,AGOSTO,18240
165,Carne bovina - 1kg,Carnaza de Primera,2007,SETIEMBRE,19964
166,Carne bovina - 1kg,Carnaza de Primera,2007,OCTUBRE,21949
167,Carne bovina - 1kg,Carnaza de Primera,2007,NOVIEMBRE,22108
168,Carne bovina - 1kg,Carnaza de Primera,2007,DICIEMBRE,22278
169,Carne bovina - 1kg,Carnaza de Segunda,2007,MAYO,10689
170,Carne bovina - 1kg,Carnaza de Segunda,2007,JUNIO,10474
171,Carne bovina - 1kg,Carnaza de Segunda,2007,JULIO,10618
172,Carne bovina - 1kg,Carnaza de Segunda,2007,AGOSTO,11485
173,Carne bovina - 1kg,Carnaza de Segunda,2007,SETIEMBRE,12202
174,Carne bovina - 1kg,Carnaza de Segunda,2007,OCTUBRE,13758
175,Carne bovina - 1kg,Carnaza de Segunda,2007,NOVIEMBRE,14042
176,Carne bovina - 1kg,Carnaza de Segunda,2007,DICIEMBRE,14078
177,Carne bovina - 1kg,Puchero de Segunda,2007,MAYO,2306
178,Carne bovina - 1kg,Puchero de Segunda,2007,JUNIO,2376
179,Carne bovina - 1kg,Puchero de Segunda,2007,JULIO,2647
180,Carne bovina - 1kg,Puchero de Segunda,2007,AGOSTO,2711
181,Carne bovina - 1kg,Puchero de Segunda,2007,SETIEMBRE,2470
182,Carne bovina - 1kg,Puchero de Segunda,2007,OCTUBRE,2996
183,Carne bovina - 1kg,Puchero de Segunda,2007,NOVIEMBRE,3201
184,Carne bovina - 1kg,Puchero de Segunda,2007,DICIEMBRE,2478
185,Carne de ave / Puchero - 1kg,Marca mas económica,2007,MAYO,5203
186,Carne de ave / Puchero - 1kg,Marca mas económica,2007,JUNIO,4798
187,Carne de ave / Puchero - 1kg,Marca mas económica,2007,JULIO,4992
188,Carne de ave / Puchero - 1kg,Marca mas económica,2007,AGOSTO,5132
189,Carne de ave / Puchero - 1kg,Marca mas económica,2007,SETIEMBRE,5233
190,Carne de ave / Puchero - 1kg,Marca mas económica,2007,OCTUBRE,5450
191,Carne de ave / Puchero - 1kg,Marca mas económica,2007,NOVIEMBRE,5513
192,Carne de ave / Puchero - 1kg,Marca mas económica,2007,DICIEMBRE,5562
193,Carne de ave / pechuga - 1kg,Marca mas económica,2007,MAYO,13240
194,Carne de ave / pechuga - 1kg,Marca mas económica,2007,JUNIO,13275
195,Carne de ave / pechuga - 1kg,Marca mas económica,2007,JULIO,13377
196,Carne de ave / pechuga - 1kg,Marca mas económica,2007,AGOSTO,13908
197,Carne de ave / pechuga - 1kg,Marca mas económica,2007,SETIEMBRE,14225
198,Carne de ave / pechuga - 1kg,Marca mas económica,2007,OCTUBRE,14178
199,Carne de ave / pechuga - 1kg,Marca mas económica,2007,NOVIEMBRE,13360
200,Carne de ave / pechuga - 1kg,Marca mas económica,2007,DICIEMBRE,12396
201,Carne de ave / pata entera - 1kg,Marca mas económica,2007,MAYO,10479
