Nro.,PRODUCTO,RUBRO,ANHO,MES,PRECIO
1,Panificado,Pan Felipito,2011,ENERO,3081
2,Panificado,Pan Felipito,2011,FEBRERO,2995
3,Panificado,Pan Felipito,2011,MARZO,3367
4,Panificado,Pan Felipito,2011,ABRIL,3257
5,Panificado,Pan Felipito,2011,MAYO,3175
6,Panificado,Pan Felipito,2011,JUNIO,3199
7,Panificado,Pan Felipito,2011,JULIO,3250
8,Panificado,Pan Felipito,2011,AGOSTO,3379
9,Panificado,Pan Felipito,2011,SETIEMBRE,3309
10,Panificado,Pan Felipito,2011,OCTUBRE,3256
11,Panificado,Pan Felipito,2011,NOVIEMBRE,3225
12,Panificado,Pan Felipito,2011,DICIEMBRE,3358
13,Panificado,Galleta,2011,ENERO,3330
14,Panificado,Galleta,2011,FEBRERO,3442
15,Panificado,Galleta,2011,MARZO,3736
16,Panificado,Galleta,2011,ABRIL,3747
17,Panificado,Galleta,2011,MAYO,3564
18,Panificado,Galleta,2011,JUNIO,3622
19,Panificado,Galleta,2011,JULIO,3667
20,Panificado,Galleta,2011,AGOSTO,3696
21,Panificado,Galleta,2011,SETIEMBRE,3878
22,Panificado,Galleta,2011,OCTUBRE,3775
23,Panificado,Galleta,2011,NOVIEMBRE,3714
24,Panificado,Galleta,2011,DICIEMBRE,3753
25,Panificado,Kokito,2011,ENERO,6331
26,Panificado,Kokito,2011,FEBRERO,6578
27,Panificado,Kokito,2011,MARZO,6645
28,Panificado,Kokito,2011,ABRIL,6763
29,Panificado,Kokito,2011,MAYO,6579
30,Panificado,Kokito,2011,JUNIO,6641
31,Panificado,Kokito,2011,JULIO,6657
32,Panificado,Kokito,2011,AGOSTO,6925
33,Panificado,Kokito,2011,SETIEMBRE,6792
34,Panificado,Kokito,2011,OCTUBRE,6979
35,Panificado,Kokito,2011,NOVIEMBRE,6690
36,Panificado,Kokito,2011,DICIEMBRE,6779
37,A granel - 1kg,Fideo,2011,ENERO,3168
38,A granel - 1kg,Fideo,2011,FEBRERO,3056
39,A granel - 1kg,Fideo,2011,MARZO,3096
40,A granel - 1kg,Fideo,2011,ABRIL,3265
41,A granel - 1kg,Fideo,2011,MAYO,3146
42,A granel - 1kg,Fideo,2011,JUNIO,3141
43,A granel - 1kg,Fideo,2011,JULIO,3162
44,A granel - 1kg,Fideo,2011,AGOSTO,3281
45,A granel - 1kg,Fideo,2011,SETIEMBRE,3381
46,A granel - 1kg,Fideo,2011,OCTUBRE,3363
47,A granel - 1kg,Fideo,2011,NOVIEMBRE,3269
48,A granel - 1kg,Fideo,2011,DICIEMBRE,3210
49,A granel - 1kg,Poroto,2011,ENERO,7775
50,A granel - 1kg,Poroto,2011,FEBRERO,6355
51,A granel - 1kg,Poroto,2011,MARZO,6296
52,A granel - 1kg,Poroto,2011,ABRIL,7074
53,A granel - 1kg,Poroto,2011,MAYO,6875
54,A granel - 1kg,Poroto,2011,JUNIO,6650
55,A granel - 1kg,Poroto,2011,JULIO,6724
56,A granel - 1kg,Poroto,2011,AGOSTO,7172
57,A granel - 1kg,Poroto,2011,SETIEMBRE,7861
58,A granel - 1kg,Poroto,2011,OCTUBRE,7872
59,A granel - 1kg,Poroto,2011,NOVIEMBRE,7753
60,A granel - 1kg,Poroto,2011,DICIEMBRE,7070
61,A granel - 1kg,Arroz,2011,ENERO,2775
62,A granel - 1kg,Arroz,2011,FEBRERO,2614
63,A granel - 1kg,Arroz,2011,MARZO,2691
64,A granel - 1kg,Arroz,2011,ABRIL,2972
65,A granel - 1kg,Arroz,2011,MAYO,2763
66,A granel - 1kg,Arroz,2011,JUNIO,2760
67,A granel - 1kg,Arroz,2011,JULIO,2797
68,A granel - 1kg,Arroz,2011,AGOSTO,2511
69,A granel - 1kg,Arroz,2011,SETIEMBRE,3053
70,A granel - 1kg,Arroz,2011,OCTUBRE,2988
71,A granel - 1kg,Arroz,2011,NOVIEMBRE,2587
72,A granel - 1kg,Arroz,2011,DICIEMBRE,2804
73,A granel - 1kg,Azúcar,2011,ENERO,7526
74,A granel - 1kg,Azúcar,2011,FEBRERO,7179
75,A granel - 1kg,Azúcar,2011,MARZO,6805
76,A granel - 1kg,Azúcar,2011,ABRIL,6761
77,A granel - 1kg,Azúcar,2011,MAYO,7068
78,A granel - 1kg,Azúcar,2011,JUNIO,6953
79,A granel - 1kg,Azúcar,2011,JULIO,6897
80,A granel - 1kg,Azúcar,2011,AGOSTO,5829
81,A granel - 1kg,Azúcar,2011,SETIEMBRE,6016
82,A granel - 1kg,Azúcar,2011,OCTUBRE,5682
83,A granel - 1kg,Azúcar,2011,NOVIEMBRE,5659
84,A granel - 1kg,Azúcar,2011,DICIEMBRE,5210
85,A granel - 1kg,Harina,2011,ENERO,2087
86,A granel - 1kg,Harina,2011,FEBRERO,2212
87,A granel - 1kg,Harina,2011,MARZO,2415
88,A granel - 1kg,Harina,2011,ABRIL,2641
89,A granel - 1kg,Harina,2011,MAYO,2339
90,A granel - 1kg,Harina,2011,JUNIO,2402
91,A granel - 1kg,Harina,2011,JULIO,2449
92,A granel - 1kg,Harina,2011,AGOSTO,2542
93,A granel - 1kg,Harina,2011,SETIEMBRE,2363
94,A granel - 1kg,Harina,2011,OCTUBRE,2319
95,A granel - 1kg,Harina,2011,NOVIEMBRE,2226
96,A granel - 1kg,Harina,2011,DICIEMBRE,2166
97,A granel - 1kg,Maíz,2011,ENERO,3191
98,A granel - 1kg,Maíz,2011,FEBRERO,2510
99,A granel - 1kg,Maíz,2011,MARZO,2736
100,A granel - 1kg,Maíz,2011,ABRIL,2893
101,A granel - 1kg,Maíz,2011,MAYO,2833
102,A granel - 1kg,Maíz,2011,JUNIO,2743
103,A granel - 1kg,Maíz,2011,JULIO,2801
104,A granel - 1kg,Maíz,2011,AGOSTO,3120
105,A granel - 1kg,Maíz,2011,SETIEMBRE,2101
106,A granel - 1kg,Maíz,2011,OCTUBRE,2455
107,A granel - 1kg,Maíz,2011,NOVIEMBRE,2780
108,A granel - 1kg,Maíz,2011,DICIEMBRE,2677
109,A granel - 1kg,Yerba,2011,ENERO,3509
110,A granel - 1kg,Yerba,2011,FEBRERO,3745
111,A granel - 1kg,Yerba,2011,MARZO,3286
112,A granel - 1kg,Yerba,2011,ABRIL,3056
113,A granel - 1kg,Yerba,2011,MAYO,3399
114,A granel - 1kg,Yerba,2011,JUNIO,3371
115,A granel - 1kg,Yerba,2011,JULIO,3278
116,A granel - 1kg,Yerba,2011,AGOSTO,4531
117,A granel - 1kg,Yerba,2011,SETIEMBRE,4060
118,A granel - 1kg,Yerba,2011,OCTUBRE,3545
119,A granel - 1kg,Yerba,2011,NOVIEMBRE,3358
120,A granel - 1kg,Yerba,2011,DICIEMBRE,4299
121,Carne bovina - 1kg,Puchero de primera,2011,ENERO,10173
122,Carne bovina - 1kg,Puchero de primera,2011,FEBRERO,11101
123,Carne bovina - 1kg,Puchero de primera,2011,MARZO,12003
124,Carne bovina - 1kg,Puchero de primera,2011,ABRIL,11319
125,Carne bovina - 1kg,Puchero de primera,2011,MAYO,11149
126,Carne bovina - 1kg,Puchero de primera,2011,JUNIO,11393
127,Carne bovina - 1kg,Puchero de primera,2011,JULIO,11466
128,Carne bovina - 1kg,Puchero de primera,2011,AGOSTO,11679
129,Carne bovina - 1kg,Puchero de primera,2011,SETIEMBRE,11154
130,Carne bovina - 1kg,Puchero de primera,2011,OCTUBRE,11422
131,Carne bovina - 1kg,Puchero de primera,2011,NOVIEMBRE,11383
132,Carne bovina - 1kg,Puchero de primera,2011,DICIEMBRE,11483
133,Carne bovina - 1kg,Carnaza de negra,2011,ENERO,32633
134,Carne bovina - 1kg,Carnaza de negra,2011,FEBRERO,30702
135,Carne bovina - 1kg,Carnaza de negra,2011,MARZO,33827
136,Carne bovina - 1kg,Carnaza de negra,2011,ABRIL,33943
137,Carne bovina - 1kg,Carnaza de negra,2011,MAYO,32776
138,Carne bovina - 1kg,Carnaza de negra,2011,JUNIO,32812
139,Carne bovina - 1kg,Carnaza de negra,2011,JULIO,33339
140,Carne bovina - 1kg,Carnaza de negra,2011,AGOSTO,31305
141,Carne bovina - 1kg,Carnaza de negra,2011,SETIEMBRE,28211
142,Carne bovina - 1kg,Carnaza de negra,2011,OCTUBRE,23723
143,Carne bovina - 1kg,Carnaza de negra,2011,NOVIEMBRE,23022
144,Carne bovina - 1kg,Carnaza de negra,2011,DICIEMBRE,23854
145,Carne bovina - 1kg,Carnaza de blanca,2011,ENERO,28498
146,Carne bovina - 1kg,Carnaza de blanca,2011,FEBRERO,28064
147,Carne bovina - 1kg,Carnaza de blanca,2011,MARZO,28813
148,Carne bovina - 1kg,Carnaza de blanca,2011,ABRIL,29832
149,Carne bovina - 1kg,Carnaza de blanca,2011,MAYO,28802
150,Carne bovina - 1kg,Carnaza de blanca,2011,JUNIO,28877
151,Carne bovina - 1kg,Carnaza de blanca,2011,JULIO,29081
152,Carne bovina - 1kg,Carnaza de blanca,2011,AGOSTO,26302
153,Carne bovina - 1kg,Carnaza de blanca,2011,SETIEMBRE,25701
154,Carne bovina - 1kg,Carnaza de blanca,2011,OCTUBRE,20597
155,Carne bovina - 1kg,Carnaza de blanca,2011,NOVIEMBRE,19868
156,Carne bovina - 1kg,Carnaza de blanca,2011,DICIEMBRE,21243
157,Carne bovina - 1kg,Lomo,2011,ENERO,35235
158,Carne bovina - 1kg,Lomo,2011,FEBRERO,34839
159,Carne bovina - 1kg,Lomo,2011,MARZO,35980
160,Carne bovina - 1kg,Lomo,2011,ABRIL,36227
161,Carne bovina - 1kg,Lomo,2011,MAYO,35570
162,Carne bovina - 1kg,Lomo,2011,JUNIO,35654
163,Carne bovina - 1kg,Lomo,2011,JULIO,35858
164,Carne bovina - 1kg,Lomo,2011,AGOSTO,33659
165,Carne bovina - 1kg,Lomo,2011,SETIEMBRE,33521
166,Carne bovina - 1kg,Lomo,2011,OCTUBRE,28143
167,Carne bovina - 1kg,Lomo,2011,NOVIEMBRE,25053
168,Carne bovina - 1kg,Lomo,2011,DICIEMBRE,26926
169,Carne bovina - 1kg,Lomito,2011,ENERO,49295
170,Carne bovina - 1kg,Lomito,2011,FEBRERO,47681
171,Carne bovina - 1kg,Lomito,2011,MARZO,49120
172,Carne bovina - 1kg,Lomito,2011,ABRIL,50517
173,Carne bovina - 1kg,Lomito,2011,MAYO,49153
174,Carne bovina - 1kg,Lomito,2011,JUNIO,49118
175,Carne bovina - 1kg,Lomito,2011,JULIO,49477
176,Carne bovina - 1kg,Lomito,2011,AGOSTO,46033
177,Carne bovina - 1kg,Lomito,2011,SETIEMBRE,48610
178,Carne bovina - 1kg,Lomito,2011,OCTUBRE,40813
179,Carne bovina - 1kg,Lomito,2011,NOVIEMBRE,32998
180,Carne bovina - 1kg,Lomito,2011,DICIEMBRE,35367
181,Carne bovina - 1kg,Carne molida de primera,2011,ENERO,28974
182,Carne bovina - 1kg,Carne molida de primera,2011,FEBRERO,29282
183,Carne bovina - 1kg,Carne molida de primera,2011,MARZO,30212
184,Carne bovina - 1kg,Carne molida de primera,2011,ABRIL,30139
185,Carne bovina - 1kg,Carne molida de primera,2011,MAYO,29652
186,Carne bovina - 1kg,Carne molida de primera,2011,JUNIO,29821
187,Carne bovina - 1kg,Carne molida de primera,2011,JULIO,29956
188,Carne bovina - 1kg,Carne molida de primera,2011,AGOSTO,29456
189,Carne bovina - 1kg,Carne molida de primera,2011,SETIEMBRE,28789
190,Carne bovina - 1kg,Carne molida de primera,2011,OCTUBRE,25621
191,Carne bovina - 1kg,Carne molida de primera,2011,NOVIEMBRE,22568
192,Carne bovina - 1kg,Carne molida de primera,2011,DICIEMBRE,24184
193,Carne bovina - 1kg,Carne molida de segunda,2011,ENERO,14961
194,Carne bovina - 1kg,Carne molida de segunda,2011,FEBRERO,16443
195,Carne bovina - 1kg,Carne molida de segunda,2011,MARZO,16750
196,Carne bovina - 1kg,Carne molida de segunda,2011,ABRIL,16220
197,Carne bovina - 1kg,Carne molida de segunda,2011,MAYO,16093
198,Carne bovina - 1kg,Carne molida de segunda,2011,JUNIO,16376
199,Carne bovina - 1kg,Carne molida de segunda,2011,JULIO,16360
200,Carne bovina - 1kg,Carne molida de segunda,2011,AGOSTO,16661
201,Carne bovina - 1kg,Carne molida de segunda,2011,SETIEMBRE,15940
202,Carne bovina - 1kg,Carne molida de segunda,2011,OCTUBRE,14545
203,Carne bovina - 1kg,Carne molida de segunda,2011,NOVIEMBRE,14499
204,Carne bovina - 1kg,Carne molida de segunda,2011,DICIEMBRE,14158
205,Carne bovina - 1kg,Costilla,2011,ENERO,16359
206,Carne bovina - 1kg,Costilla,2011,FEBRERO,14857
207,Carne bovina - 1kg,Costilla,2011,MARZO,16171
208,Carne bovina - 1kg,Costilla,2011,ABRIL,15808
209,Carne bovina - 1kg,Costilla,2011,MAYO,15799
210,Carne bovina - 1kg,Costilla,2011,JUNIO,15659
211,Carne bovina - 1kg,Costilla,2011,JULIO,15859
212,Carne bovina - 1kg,Costilla,2011,AGOSTO,18875
213,Carne bovina - 1kg,Costilla,2011,SETIEMBRE,17235
214,Carne bovina - 1kg,Costilla,2011,OCTUBRE,24894
215,Carne bovina - 1kg,Costilla,2011,NOVIEMBRE,20173
216,Carne bovina - 1kg,Costilla,2011,DICIEMBRE,20491
217,Carne bovina - 1kg,Costilla de segunda,2011,ENERO,12897
218,Carne bovina - 1kg,Costilla de segunda,2011,FEBRERO,12753
219,Carne bovina - 1kg,Costilla de segunda,2011,MARZO,13141
220,Carne bovina - 1kg,Costilla de segunda,2011,ABRIL,12853
221,Carne bovina - 1kg,Costilla de segunda,2011,MAYO,12911
222,Carne bovina - 1kg,Costilla de segunda,2011,JUNIO,12914
223,Carne bovina - 1kg,Costilla de segunda,2011,JULIO,12955
224,Carne bovina - 1kg,Costilla de segunda,2011,AGOSTO,15138
225,Carne bovina - 1kg,Costilla de segunda,2011,SETIEMBRE,14803
226,Carne bovina - 1kg,Costilla de segunda,2011,OCTUBRE,19677
227,Carne bovina - 1kg,Costilla de segunda,2011,NOVIEMBRE,16064
228,Carne bovina - 1kg,Costilla de segunda,2011,DICIEMBRE,15831
229,Carne bovina - 1kg,Hígado,2011,ENERO,9060
230,Carne bovina - 1kg,Hígado,2011,FEBRERO,8874
231,Carne bovina - 1kg,Hígado,2011,MARZO,9017
232,Carne bovina - 1kg,Hígado,2011,ABRIL,9779
233,Carne bovina - 1kg,Hígado,2011,MAYO,9182
234,Carne bovina - 1kg,Hígado,2011,JUNIO,9213
235,Carne bovina - 1kg,Hígado,2011,JULIO,9298
236,Carne bovina - 1kg,Hígado,2011,AGOSTO,8923
237,Carne bovina - 1kg,Hígado,2011,SETIEMBRE,9808
238,Carne bovina - 1kg,Hígado,2011,OCTUBRE,9899
239,Carne bovina - 1kg,Hígado,2011,NOVIEMBRE,9019
240,Carne bovina - 1kg,Hígado,2011,DICIEMBRE,8974
241,Carne bovina - 1kg,Corazón,2011,ENERO,9735
242,Carne bovina - 1kg,Corazón,2011,FEBRERO,8982
243,Carne bovina - 1kg,Corazón,2011,MARZO,9933
244,Carne bovina - 1kg,Corazón,2011,ABRIL,10820
245,Carne bovina - 1kg,Corazón,2011,MAYO,9868
246,Carne bovina - 1kg,Corazón,2011,JUNIO,9901
247,Carne bovina - 1kg,Corazón,2011,JULIO,10130
248,Carne bovina - 1kg,Corazón,2011,AGOSTO,10836
249,Carne bovina - 1kg,Corazón,2011,SETIEMBRE,11051
250,Carne bovina - 1kg,Corazón,2011,OCTUBRE,10569
251,Carne bovina - 1kg,Corazón,2011,NOVIEMBRE,10935
252,Carne bovina - 1kg,Corazón,2011,DICIEMBRE,10644
253,Carne bovina - 1kg,Mondongo,2011,ENERO,11498
254,Carne bovina - 1kg,Mondongo,2011,FEBRERO,9891
255,Carne bovina - 1kg,Mondongo,2011,MARZO,10889
256,Carne bovina - 1kg,Mondongo,2011,ABRIL,11925
257,Carne bovina - 1kg,Mondongo,2011,MAYO,11051
258,Carne bovina - 1kg,Mondongo,2011,JUNIO,10939
259,Carne bovina - 1kg,Mondongo,2011,JULIO,11201
260,Carne bovina - 1kg,Mondongo,2011,AGOSTO,12120
261,Carne bovina - 1kg,Mondongo,2011,SETIEMBRE,11783
262,Carne bovina - 1kg,Mondongo,2011,OCTUBRE,11969
263,Carne bovina - 1kg,Mondongo,2011,NOVIEMBRE,12622
264,Carne bovina - 1kg,Mondongo,2011,DICIEMBRE,12140
265,Carne bovina - 1kg,Carnaza de Primera,2011,ENERO,32310
266,Carne bovina - 1kg,Carnaza de Primera,2011,FEBRERO,31061
267,Carne bovina - 1kg,Carnaza de Primera,2011,MARZO,33365
268,Carne bovina - 1kg,Carnaza de Primera,2011,ABRIL,34358
269,Carne bovina - 1kg,Carnaza de Primera,2011,MAYO,32774
