ANHO,MES_NRO,FECHA,MES,A granel - 1kg,A granel - 1kg,A granel - 1kg,A granel - 1kg,A granel - 1kg,A granel - 1kg,A granel - 1kg,Aceite de girasol - 900cc,Aceite de maíz - 1lt,Aceite de soja - 900cc,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne bovina - 1kg,Carne de ave / Ala - 1kg,Carne de ave / Corazoncito - 1kg,Carne de ave / Hígado - 1kg,Carne de ave / pata entera - 1kg,Carne de ave / pechuga - 1kg,Carne de ave / pollo entero - 1kg,Carne de ave / Puchero - 1kg,Carne de ave / Tacaraa - 1kg,Carne porcina - 1kg,Carne porcina - 1kg,Carne porcina - 1kg,Carne porcina - 1kg,Carne porcina - 1kg,Carne porcina - 1kg,Carne porcina - 1kg,Crema dental - 90gr,Detergente líquido - 1/2 lt,Embutido / chorizo Viena - 1kg,Embutido / fiambre Paris - 1kg,"Fruta, hortaliza - 1kg","Fruta, hortaliza - 1kg","Fruta, hortaliza - 1kg","Fruta, hortaliza - 1kg","Fruta, hortaliza - 1kg","Fruta, hortaliza - 1kg","Fruta, hortaliza - 1kg","Fruta, hortaliza - 1kg","Fruta, hortaliza - 1kg",Huevos de gallina - 1/2 doc.,Jabón de baño - 90gr,Jabón en polvo p/ lavar - 400gr,Lavandina - 1lt,Leche sachet - 1/2 lt,Leche sachet - 1lt,Leche UHT - 1/2 lt,Leche UHT - 1lt,Panificado,Panificado,Panificado,Papel higiénico - 4 unid.,Queso - 1kg,Queso sándwich - 1kg,Sal fina - 500gr,Yogurt - 350 gr
ANHO,MES_NRO,FECHA,MES,Arroz,Azúcar,Fideo,Harina,Maíz,Poroto,Yerba,Marca mas económica,Marca mas económica,Marca mas económica,Bola de Lomo,Carnaza de blanca,Carnaza de negra,Carnaza de Primera,Carnaza de Segunda,Carne molida de primera,Carne molida de segunda,Cebo,Corazón,Costeleta,Costilla,Costilla de segunda,Espinazo Negro,Falda,Hígado,Hueso Blanco,Lomito,Lomo,Matambre,Mondongo,Muchachito,Osobuco,Paleta,Palomita,Peceto,Puchero de primera,Puchero de Segunda,Rabadilla,Sambari,Tapa Cuadril,Tapa de Asado,Vacío,Marca mas económica,Marca mas económica,Marca mas económica,Marca mas económica,Marca mas económica,Marca mas económica,Marca mas económica,Marca mas económica,Costeleta,Costilla de cerdo,Lomo de cerdo,Paleta de cerdo,Pierna,Puchero,Riñón,Marca mas económica,Marca mas económica,Marca mas económica,Marca mas económica,Banana carape,Cebolla de cabeza,Lechuga - 1 maso,Locote,Mandioca,Naranja,Papa negra,Tomate Sta. Cruz,Zanahoria,Marca mas económica,Marca mas económica,Marca mas económica,Marca mas económica,Marca mas económica,Marca mas económica,Marca mas económica,Marca mas económica,Galleta,Kokito,Pan Felipito,Marca mas económica,Queso Paraguay,Marca mas económica,Marca mas económica,Marca mas económica
2007,5,2007-05,MAYO,2114,3037,2572,2058,2340,3419,3452,15045,19852,11460,,15259,17312,17125,10689,17580,10001,,5879,,9900,,,,6448,,,19508,,6532,,,,,,5665,2306,,,,,,8355,12896,5467,10479,13240,8388,5203,7926,,,,,,,,2639,2048,11154,11886,1059,3010,1429,4696,594,2242,2695,4411,3171,2886,965,1598,2969,1209,2309,1638,3009,3130,4884,2812,1420,5632,6214,865,2015
2007,6,2007-06,JUNIO,2094,2999,2594,2030,3349,3469,3511,6250,11459,5750,,15350,17045,16880,10474,17242,10084,,5686,,8995,,,,6404,,,19003,,6658,,,,,,5669,2376,,,,,,7974,13063,5344,10348,13275,8174,4798,8000,,,,,,,,2660,1994,11120,11743,905,2951,1155,5847,553,1807,2386,4193,2680,2835,948,1619,2928,1220,2287,1647,3079,3088,4923,2753,1407,17704,22577,858,2017
2007,7,2007-07,JULIO,2101,2984,2580,2046,3527,3574,3562,6607,11337,6109,,15582,17464,17313,10618,17208,10006,,5889,,10278,,,,6633,,,19449,,7010,,,,,,5969,2647,,,,,,8164,13231,5262,10514,13377,8130,4992,7946,,,,,,,,2672,1945,10808,11498,1007,3183,628,4219,549,1798,2623,3595,2064,2850,955,1590,3065,1268,2393,1730,3166,3059,5066,2766,1410,18733,24740,903,2072
2007,8,2007-08,AGOSTO,2268,2965,2717,2278,1937,3967,3741,6985,11452,6506,,16541,18544,18240,11485,17741,10770,,6409,,11072,,,,7082,,,20468,,7542,,,,,,6483,2711,,,,,,8641,13434,5163,10827,13908,8395,5132,7883,,,,,,,,2752,1954,11251,11876,1189,3532,881,4033,614,1677,4244,4455,2003,2838,958,1619,2984,1353,2581,1843,3395,3242,5030,2920,1421,18507,25875,937,2126
2007,9,2007-09,SETIEMBRE,2307,2972,3028,2796,2350,4560,3719,7162,11750,6506,,18013,20003,19964,12202,18933,11281,,6549,,10986,,,,7678,,,21844,,7957,,,,,,6646,2470,,,,,,8721,13292,5162,11058,14225,8252,5233,7812,,,,,,,,2690,1876,11341,11794,1493,3447,593,5010,697,1609,4794,3910,1984,2858,932,1923,2725,1427,2773,1817,3505,3529,5410,3218,1423,18357,26551,948,2197
2007,10,2007-10,OCTUBRE,2434,2925,3292,2975,2665,5141,3737,7773,11794,6688,,19730,22055,21949,13758,20430,12382,,6976,,12961,,,,8325,,,23843,,8329,,,,,,7528,2996,,,,,,8743,12086,4860,10904,14178,7882,5450,7237,,,,,,,,2682,2020,11442,12014,1780,3448,578,4480,787,1819,5526,5501,3666,2794,940,1608,2999,1438,2750,1830,3551,3813,5699,3425,1457,18301,26840,966,2202
2007,11,2007-11,NOVIEMBRE,2452,2830,3293,2830,2972,6227,3629,8486,11834,7013,,19661,22258,22108,14042,21100,12686,,7153,,13760,,,,8512,,,24495,,8555,,,,,,7681,3201,,,,,,8920,12657,4663,10969,13360,7797,5513,7987,,,,,,,,2766,2045,11805,12645,2322,3018,1203,3746,780,1866,3724,1340,3463,2677,1007,1658,3129,1549,2987,1978,3723,3588,5765,3239,1448,17629,26775,941,2229
2007,12,2007-12,DICIEMBRE,2496,2833,3383,2768,2952,6866,3719,8783,11992,7047,,19925,22190,22278,14078,20741,12589,,6946,,13334,,,,7965,,,24391,,8086,,,,,,7544,2478,,,,,,9159,11355,3952,11123,12396,8014,5562,7954,,,,,,,,2691,2084,12057,12862,3014,3205,885,3806,784,1894,2797,2312,2862,2648,1038,1677,3218,1572,2998,2050,3811,3547,5808,3213,1493,15419,25796,937,2252
2008,1,2008-01,ENERO,2451,2985,3441,3005,2803,4420,3532,9093,12465,6906,,20833,24033,25476,13990,21119,10547,,7333,,13334,,,,7510,,,26220,,7739,,,,,,7474,2690,,,,,,9962,11300,3391,12149,11844,8862,5130,5927,,,,,,,,3166,1641,12329,13426,1990,4275,2045,2707,939,1616,3073,4221,3742,2764,1293,3284,2424,1526,3010,1945,3681,3644,5720,3161,1833,14201,24483,1048,2381
