AÑO,MES,"ALIMENTACIÓN, B. NO ALCOH.","B. ALCOH, TABACOS","P.VESTIR, CALZADO","ALOJAMIENTO, AGUA-ELECTR, GAS Y OTROS",MUEBLES Y ARTÍCULOS P. EL HOGAR,GASTO EN SALUD,TRANSPORTE,COMUNICACIÓN,"RECREACIÓN, CULTURA",EDUCACIÓN,RESTAURANT. HOTELES,"BIENES, SERV. DIVERSOS",INDICE GENERAL,VARIACIONES (%) MENS.,ACUM.,INTERANUAL
1994,DIC,"29,2","33,1","53,7","35,2","37,6","34,5","23,3","20,8","37,8","28,8","40,2","42,1","32,8","0,9","18,3","18,3"
1995,ENE,"30,3","32,2",54,"35,7","38,1",35,"23,4","20,8","38,1","28,9","40,3","42,1","33,4","1,8","1,8","16,9"
1995,FEB,"30,5","32,2","54,4","35,8","38,4","35,7","23,5","20,8","38,4","29,1","41,4","42,4","33,7","0,9","2,7","14,6"
1995,MAR,"30,8","32,4","54,9",37,"38,9","36,1","23,6","20,8","38,9",34,"42,3","42,9","34,3","1,6","4,4","14,3"
1995,ABR,31,"32,7","55,4",37,"39,5","36,5","23,7","20,8","39,3","36,3","42,5",43,"34,5","0,8","5,3",14
1995,MAY,"30,7","32,7","55,9","39,3","40,1","37,5","23,8","20,8","40,6","36,3","42,6",43,"34,8","0,7",6,"14,3"
1995,JUN,"31,1","32,9","56,3","39,4","40,6",38,"23,8","20,8",41,"36,3","43,5","43,6","35,2","1,1","7,2",15
1995,JUL,"31,4","32,9","56,6","40,1","41,1","38,5","23,8","20,8","41,5","36,3","44,2","44,3","35,5",1,"8,3","14,5"
1995,AGO,31,"33,2","56,7","40,1","41,2","38,8","23,9","20,8","42,1","36,3","44,5","44,4","35,4","-0,2","8,1","12,4"
1995,SEP,"30,8","33,3","56,9","40,8","41,4",39,"23,9","20,8","42,6","36,3","44,6","44,5","35,5","0,2","8,3","12,3"
1995,OCT,31,"33,8","57,3","40,8","41,7","39,3","25,2","20,8","42,6","36,3","44,3","44,7","35,8","0,8","9,2","12,2"
1995,NOV,"30,7","34,6","57,7","41,1","42,3","39,6","26,5","20,8",42,"36,3","44,5",45,36,"0,4","9,6","10,6"
1995,DIC,"31,2",36,58,"41,2","42,9","39,8","26,5","20,8",42,"36,4","44,5","45,3","36,3","0,8","10,5","10,5"
1996,ENE,32,"36,1","58,2","41,6","43,2","40,8","26,8","20,8","42,1","36,6","45,5","45,7","36,8","1,6","1,6","10,3"
1996,FEB,"32,2","36,4","58,5","44,3","43,5","41,2","28,2","20,8","42,4","36,5",46,"46,2","37,5","1,7","3,4","11,2"
1996,MAR,"32,5","36,7","58,8","45,2","43,9","41,3","28,4","20,8","42,7","44,3","46,6","46,8",38,"1,5","4,9","11,1"
1996,ABR,"32,7","36,6","59,1","45,3","44,1","42,1","28,6","20,8","42,9","44,4","47,2",47,"38,3","0,6","5,6","10,9"
1996,MAY,"32,6",37,"59,6",46,"44,3","42,9","28,8","20,8","42,9","44,4","47,5","47,3","38,4","0,4",6,"10,5"
1996,JUN,"32,6","37,2","59,9","46,1","44,5","43,2","28,8","20,8",43,"44,4","48,4","47,6","38,6","0,3","6,4","9,6"
1996,JUL,"32,5","37,1","60,2","46,6","44,8","44,1","28,9","20,8",43,"44,5","49,2","47,8","38,7","0,4","6,8","8,9"
1996,AGO,"32,5","37,4","60,3","46,7","45,2","45,1",29,"20,8","43,9","44,6","49,8","47,7","38,9","0,4","7,2","9,7"
1996,SEP,"32,7","37,4","60,5","46,9","45,3","45,1",29,"20,8",44,"44,6","49,8","47,9",39,"0,3","7,5","9,8"
1996,OCT,"32,5","38,2","60,5","46,9","45,7","45,4",29,"20,8","44,1","44,6","49,9","48,1",39,0,"7,5","8,9"
